INSERT INTO Gioco(ID_Gioco, CF_Giocatore, Importo, Vincita , Data_Giocata ,Numero_Scommesso, Colore_Scommesso  ) VALUES 
( "EMB7SMHBOM" ,  TLNYEGIAXYAA8UGJ ,  " " ),
( "2KDZX69SAS8XOZRP" ,  "Giulia" ,  "Ferrari" ,  "1995/07/13" ,  "Francese" ),
( "E8QSKL9SUF3AYJYG" ,  "Chiara" ,  "Gallo" ,  "1978/11/12" ,  "Giapponese" ),
( "LL9FNXQYJO21UL0W" ,  "Valentina" ,  "Bianchi" ,  "1996/07/16" ,  "Messicana" ),
( "JVPXU0X5Y9GGLQS4" ,  "Elisa" ,  "Fontana" ,  "1986/12/19" ,  "Francese" ),
( "QYIEDTD61PYWY1B3" ,  "Elisa" ,  "Mancini" ,  "1990/11/13" ,  "Canadese" ),
( "AIH7IX7NGTSE3YGE" ,  "Emma" ,  "Romano" ,  "1984/06/14" ,  "Britannica" ),
( "Q87QIZIW3PHRR293" ,  "Davide" ,  "Rizzo" ,  "1992/02/06" ,  "Britannica" ),
( "94E6T3A1LJKRBAOQ" ,  "Giovanni" ,  "Greco" ,  "1975/06/08" ,  "Tedesca" ),
( "POQYEO1ARZT6OHRX" ,  "Simone" ,  "Rossi" ,  "1993/09/05" ,  "Portoghese" ),
( "LC4PXEXRL9SY4U4S" ,  "Sofia" ,  "Santoro" ,  "1971/05/11" ,  "Cinese" ),
( "D1PSIM3H71I7YE8L" ,  "Emma" ,  "Esposito" ,  "1980/06/25" ,  "Francese" ),
( "6O9WL1YJZ21QGWA1" ,  "Valentina" ,  "Bianchi" ,  "1961/07/12" ,  "Italiana" ),
( "U02Y8N06OSXBUFVF" ,  "Giovanni" ,  "De Luca" ,  "1968/09/21" ,  "Portoghese" ),
( "OKBJQDMJTK6QWLBR" ,  "Valentina" ,  "Ferrari" ,  "1980/06/25" ,  "Messicana" ),
( "TIY508X4LNLT390P" ,  "Marco" ,  "Conti" ,  "1968/09/21" ,  "Italiana" ),
( "IGL0UF0QLT73VW5P" ,  "Elisa" ,  "Marino" ,  "1969/08/15" ,  "Giapponese" ),
( "B5F2LZLGB7VQ1OBR" ,  "Andrea" ,  "Rossi" ,  "1974/05/09" ,  "Portoghese" ),
( "25BR6IBFS3FRMKL9" ,  "Elisa" ,  "Greco" ,  "1963/09/23" ,  "Tedesca" ),
( "PRUXIRV1LBSETAVS" ,  "Matteo" ,  "Marino" ,  "1978/12/28" ,  "Austriaca" ),
( "FKO00SLJ1KKS5QD0" ,  "Alice" ,  "Gallo" ,  "1993/09/05" ,  "Portoghese" ),
( "LZ361NAOHRKECFVE" ,  "Luca" ,  "Lombardi" ,  "1990/11/13" ,  "Austriaca" ),
( "R3RBJATNUTJ4D55X" ,  "Davide" ,  "Rizzo" ,  "1995/07/13" ,  "Statunitense" ),
( "0XXXOZ589YS2FKDL" ,  "Elisa" ,  "Rizzo" ,  "1990/11/13" ,  "Austriaca" ),
( "B904G9L28VO11CPO" ,  "Chiara" ,  "Lombardi" ,  "1975/06/08" ,  "Messicana" ),
( "NG5VKC0036EUR0PL" ,  "Laura" ,  "Marino" ,  "1996/05/04" ,  "Canadese" ),
( "WJ0LL12H0IWGE4VX" ,  "Francesca" ,  "Santoro" ,  "1991/11/12" ,  "Britannica" ),
( "TG51FQBWK0VRCWFE" ,  "Laura" ,  "Barbieri" ,  "1996/07/16" ,  "Cinese" ),
( "RECLZ2SR95HRX5O4" ,  "Matteo" ,  "Ricci" ,  "1990/12/10" ,  "Statunitense" ),
( "FL03D97HLPCJW3A3" ,  "Laura" ,  "Costa" ,  "1983/04/23" ,  "Austriaca" ),
( "CIC81RV5U91D4TTN" ,  "Luca" ,  "Barbieri" ,  "1992/02/06" ,  "Giapponese" ),
( "YIE66HFMP9584GRW" ,  "Chiara" ,  "Marino" ,  "1991/11/12" ,  "Sudafricana" ),
( "ZDNGUI9EBD53IL8U" ,  "Valentina" ,  "Ricci" ,  "1993/09/05" ,  "Portoghese" ),
( "9RCJ2WNRXLGOE4RG" ,  "Elisa" ,  "Greco" ,  "1975/11/23" ,  "Spagnola" ),
( "HTEZFDOKC9SPK4FF" ,  "Matteo" ,  "Ricci" ,  "1978/12/28" ,  "Canadese" ),
( "TAQ2H7RG7N5U8WWO" ,  "Emma" ,  "Conti" ,  "1984/06/14" ,  "Canadese" ),
( "RPRY0NE49Y533BTZ" ,  "Francesca" ,  "Rizzo" ,  "1991/11/12" ,  "Austriaca" ),
( "OV4OA5XJORGS9RQ6" ,  "Chiara" ,  "Santoro" ,  "1961/07/12" ,  "Austriaca" ),
( "JYAQSCQF8FI96I3J" ,  "Stefano" ,  "Moretti" ,  "1984/09/28" ,  "Portoghese" ),
( "CL0NI3YFPAIUWH7E" ,  "Elisa" ,  "Bianchi" ,  "1995/01/12" ,  "Statunitense" ),
( "ZPCX5NDK45K7HHWC" ,  "Laura" ,  "Mariani" ,  "1995/07/13" ,  "Cinese" ),
( "2SB2FBQS42BOO9HQ" ,  "Valentina" ,  "Esposito" ,  "1978/12/28" ,  "Francese" ),
( "J7TF38KWXZ3FLJ7F" ,  "Giulia" ,  "Gallo" ,  "1993/08/24" ,  "Portoghese" ),
( "AZHL4HV9Z6G5PL33" ,  "Andrea" ,  "Marino" ,  "1964/11/12" ,  "Statunitense" ),
( "INUBITFYRSMK0BNE" ,  "Martina" ,  "De Luca" ,  "1975/06/08" ,  "Austriaca" ),
( "IQH6X58MJYDXRGJC" ,  "Luca" ,  "Ricci" ,  "1971/05/11" ,  "Britannica" ),
( "LIWTH1AHGYDJASYC" ,  "Andrea" ,  "Conti" ,  "1986/10/19" ,  "Cinese" ),
( "TNTJRY0Y6QVDYJIO" ,  "Laura" ,  "Lombardi" ,  "1964/11/12" ,  "Messicana" ),
( "XEPYU8XR6ESFD97W" ,  "Alice" ,  "Rossi" ,  "1973/02/01" ,  "Austriaca" ),
( "NUGFHXBOXSUMU5HS" ,  "Stefano" ,  "Bianchi" ,  "1968/09/21" ,  "Brasiliana" ),
( "P9W504ZVBYZ0GT18" ,  "Matteo" ,  "Esposito" ,  "1983/04/23" ,  "Britannica" ),
( "DE62HKF3TPH3BEGZ" ,  "Simone" ,  "De Luca" ,  "1984/09/28" ,  "Brasiliana" ),
( "Q7320A3R7A6XK1YT" ,  "Giovanni" ,  "Santoro" ,  "1991/02/12" ,  "Portoghese" ),
( "6PWA5PI0PTB33O8I" ,  "Alice" ,  "Ricci" ,  "1975/06/08" ,  "Francese" ),
( "TZ54FLOSVZ87Y3PD" ,  "Laura" ,  "Greco" ,  "1990/12/10" ,  "Cinese" ),
( "1E19IH9SRUAHVXHG" ,  "Elisa" ,  "Mariani" ,  "1992/05/06" ,  "Canadese" ),
( "DOG4B14X53R0RSHM" ,  "Chiara" ,  "Fontana" ,  "1967/06/05" ,  "Cinese" ),
( "VIXUDO35CIN0PWCV" ,  "Giulia" ,  "Greco" ,  "1996/05/04" ,  "Sudafricana" ),
( "8XBXVXKXIHLAV95S" ,  "Andrea" ,  "Marino" ,  "1979/06/22" ,  "Brasiliana" ),
( "T0H5FUWXTUFLA1OP" ,  "Roberto" ,  "Rizzo" ,  "1964/11/12" ,  "Brasiliana" ),
( "ESJP4TN87CPRKV9K" ,  "Andrea" ,  "Marino" ,  "1968/09/21" ,  "Brasiliana" ),
( "C7UL58WEK5JJS41E" ,  "Marco" ,  "Rossi" ,  "1996/09/28" ,  "Canadese" ),
( "8INRDO2ED3KBFSH7" ,  "Laura" ,  "Ferrari" ,  "1991/06/28" ,  "Tedesca" ),
( "X654BL4GL0FBXRQ4" ,  "Giovanni" ,  "De Luca" ,  "1984/06/14" ,  "Messicana" ),
( "0THNKDM4FMWBL9F4" ,  "Martina" ,  "Esposito" ,  "1995/07/13" ,  "Italiana" ),
( "G8M50IU4VP5DOE6K" ,  "Simone" ,  "Fontana" ,  "1993/09/05" ,  "Francese" ),
( "YUM12IZHN5W4FCAX" ,  "Giovanni" ,  "De Luca" ,  "1991/06/28" ,  "Sudafricana" ),
( "ZDPT2MEEQKXI9ERY" ,  "Valentina" ,  "Bianchi" ,  "1986/12/19" ,  "Sudafricana" ),
( "7DLWGPKHGQYIY6JK" ,  "Simone" ,  "Ferrari" ,  "1993/08/24" ,  "Britannica" ),
( "T1HWKCMUUEHOHCVX" ,  "Elisa" ,  "Marino" ,  "1978/04/04" ,  "Austriaca" ),
( "STIF389PUU44E4PN" ,  "Davide" ,  "Santoro" ,  "1994/09/16" ,  "Cinese" ),
( "4TD9G0KLJ0RWS1F9" ,  "Stefano" ,  "Ferrari" ,  "1996/07/16" ,  "Spagnola" ),
( "T8AGWBSGVQN2FV7N" ,  "Luca" ,  "Mariani" ,  "1993/08/24" ,  "Messicana" ),
( "3HVC5CB5AT7HWES8" ,  "Emma" ,  "Conti" ,  "1990/11/13" ,  "Austriaca" ),
( "MFZ6HKQKJ7G9Y793" ,  "Giulia" ,  "Moretti" ,  "1979/06/22" ,  "Francese" ),
( "27J9FMGE1UKUBJ8T" ,  "Matteo" ,  "Bianchi" ,  "1976/02/27" ,  "Australiana" ),
( "HCJ25HMEKB4NBK0V" ,  "Alice" ,  "Romano" ,  "1975/11/23" ,  "Francese" ),
( "0ZBFNXX8IOKCP216" ,  "Luca" ,  "Esposito" ,  "1960/02/06" ,  "Cinese" ),
( "EA6FLYMXXZ8GT9L7" ,  "Luca" ,  "Ferrari" ,  "1996/07/16" ,  "Britannica" ),
( "OWLO1ZHKYLS1C1ZD" ,  "Andrea" ,  "Gallo" ,  "1975/06/08" ,  "Francese" ),
( "91CC6KOLEWWMHFPB" ,  "Andrea" ,  "Santoro" ,  "1995/07/13" ,  "Canadese" ),
( "YU00405GM0NYV8XI" ,  "Elisa" ,  "Santoro" ,  "1978/04/04" ,  "Italiana" ),
( "CS9F0EUMRAMBIXP4" ,  "Davide" ,  "Moretti" ,  "1991/04/01" ,  "Brasiliana" ),
( "HRX5CA46WJPYYPJK" ,  "Giovanni" ,  "Lombardi" ,  "1990/11/13" ,  "Giapponese" ),
( "PHABFXZOP35B4CI3" ,  "Giulia" ,  "Romano" ,  "1964/11/12" ,  "Canadese" ),
( "FYXP2JGVL57XT0BH" ,  "Roberto" ,  "Marino" ,  "1978/12/28" ,  "Italiana" ),
( "8IUUNZ9OK334BV7N" ,  "Luca" ,  "Rossi" ,  "1996/07/16" ,  "Australiana" ),
( "Z7RB79ZR099UJZPD" ,  "Francesca" ,  "Ferrari" ,  "1964/11/12" ,  "Sudafricana" ),
( "Y8F98XGWYWKODAFA" ,  "Elisa" ,  "Esposito" ,  "1997/02/16" ,  "Italiana" ),
( "5IE0O6XPB2RNQHUY" ,  "Elisa" ,  "Moretti" ,  "1990/12/10" ,  "Messicana" ),
( "OOIV0ZLQWQMXHCA0" ,  "Chiara" ,  "Barbieri" ,  "1964/11/12" ,  "Spagnola" ),
( "187I5CH7860O9YMZ" ,  "Valentina" ,  "Greco" ,  "1993/08/24" ,  "Italiana" ),
( "2CTKC5MPQVQX5FXB" ,  "Sofia" ,  "Gallo" ,  "1963/09/23" ,  "Sudafricana" ),
( "C09KREM57P264FN1" ,  "Emma" ,  "Greco" ,  "1991/11/12" ,  "Spagnola" ),
( "QW9SWIHVMD4Y5BX1" ,  "Andrea" ,  "Ricci" ,  "1961/07/12" ,  "Austriaca" ),
( "OS4KPWL93EWYR91S" ,  "Giovanni" ,  "Ricci" ,  "1971/05/11" ,  "Portoghese" ),
( "DBBSPUL9WIBY3LQZ" ,  "Emma" ,  "Rizzo" ,  "1991/02/12" ,  "Spagnola" ),
( "JRG8GWMBHHQOSBP8" ,  "Marco" ,  "Conti" ,  "1997/02/16" ,  "Statunitense" ),
( "6WIT4EPP6Q3OGORZ" ,  "Matteo" ,  "Barbieri" ,  "1984/06/14" ,  "Francese" ),
( "DJLSVF6QIIVGKYA5" ,  "Laura" ,  "Rizzo" ,  "1986/12/19" ,  "Australiana" ),
( "60BSNS5IWERIITJH" ,  "Matteo" ,  "Ricci" ,  "1995/01/12" ,  "Italiana" ),
( "USOTK1F41F7Z2GA8" ,  "Francesca" ,  "Fontana" ,  "1994/09/16" ,  "Cinese" ),
( "X1R96CV1XQM32H19" ,  "Laura" ,  "Mariani" ,  "1961/07/12" ,  "Messicana" ),
( "RN7USGDO12SG40UP" ,  "Giulia" ,  "Ferrari" ,  "1969/08/15" ,  "Portoghese" ),
( "SXOOKYS5AXVYAGQ3" ,  "Valentina" ,  "Mancini" ,  "1991/11/12" ,  "Spagnola" ),
( "BBC95UVGIGD5MZUL" ,  "Marco" ,  "Ricci" ,  "1996/07/16" ,  "Portoghese" ),
( "BJM6ESWBJ0FU383G" ,  "Laura" ,  "Esposito" ,  "2000/11/21" ,  "Spagnola" ),
( "ATP9ROGPQO08N9DT" ,  "Simone" ,  "Romano" ,  "1973/02/01" ,  "Giapponese" ),
( "51TNZTG0UV1OENZA" ,  "Emma" ,  "Rizzo" ,  "1992/02/06" ,  "Tedesca" ),
( "027IIGYLTFLKS9I7" ,  "Alice" ,  "Ricci" ,  "1973/02/01" ,  "Italiana" ),
( "ONB3RWJW80XI7MMN" ,  "Sofia" ,  "Gallo" ,  "1986/12/12" ,  "Spagnola" ),
( "FGU7EBGWH2D15VYW" ,  "Andrea" ,  "Gallo" ,  "1963/09/23" ,  "Spagnola" ),
( "MM3KKLSJDL3L5STJ" ,  "Sofia" ,  "Ricci" ,  "1990/11/13" ,  "Italiana" ),
( "OGTIETKDDQYSZAGI" ,  "Andrea" ,  "Romano" ,  "1967/06/05" ,  "Tedesca" ),
( "M7B69CUC8TJS1IVC" ,  "Laura" ,  "De Luca" ,  "1972/03/05" ,  "Italiana" ),
( "IXA8PKZULFB26JPH" ,  "Sofia" ,  "Greco" ,  "1992/01/04" ,  "Tedesca" ),
( "4CRMB63P1PI9TE4E" ,  "Giulia" ,  "Greco" ,  "1978/12/28" ,  "Canadese" ),
( "PMQ0ZJKBYUAIKF6K" ,  "Alice" ,  "Ferrari" ,  "1983/04/23" ,  "Statunitense" ),
( "FQBHRTIVBYKJLC6F" ,  "Andrea" ,  "Moretti" ,  "1996/07/16" ,  "Australiana" ),
( "M132YELR9518OOQ9" ,  "Marco" ,  "Bianchi" ,  "1964/11/12" ,  "Portoghese" ),
( "V9BLWJZMTPNQJWRK" ,  "Laura" ,  "Santoro" ,  "1964/11/12" ,  "Austriaca" ),
( "5GJCL0KY0MMJDG7Y" ,  "Marco" ,  "Barbieri" ,  "1996/09/28" ,  "Spagnola" ),
( "G2YR2QHVM9YG2AVZ" ,  "Stefano" ,  "Gallo" ,  "1976/02/27" ,  "Cinese" ),
( "SJA6B4V4WPJFHY65" ,  "Simone" ,  "Ricci" ,  "1990/11/13" ,  "Italiana" ),
( "4GPVS1J4MD9D8TQ7" ,  "Francesca" ,  "Rizzo" ,  "1964/11/12" ,  "Tedesca" ),
( "5AB0WITAOQAAJ4BT" ,  "Emma" ,  "Rizzo" ,  "1974/05/09" ,  "Canadese" ),
( "TLNYEGIAXYAA8UGJ" ,  "Elisa" ,  "Mariani" ,  "1997/02/16" ,  "Canadese" ),
( "F3FIV7FPIE1ABOET" ,  "Chiara" ,  "Bianchi" ,  "1969/08/15" ,  "Canadese" ),
( "4TDZYJBIQYBXYACM" ,  "Chiara" ,  "Santoro" ,  "1978/12/28" ,  "Italiana" ),
( "NC0YMG8ZOM5URBXG" ,  "Martina" ,  "Ricci" ,  "1997/02/16" ,  "Francese" ),
( "AWX0E7EA3XIK0WHF" ,  "Francesca" ,  "Marino" ,  "1967/06/05" ,  "Australiana" ),
( "OPA43JH7ZOA2NVIS" ,  "Emma" ,  "Ferrari" ,  "1994/09/16" ,  "Canadese" ),
( "C6MO28NFSYJLWRT7" ,  "Alice" ,  "Mariani" ,  "1995/07/13" ,  "Britannica" ),
( "3O0QWWTZIRWUGBIG" ,  "Francesca" ,  "Mariani" ,  "1990/12/10" ,  "Britannica" ),
( "4SML25VSVPJHXYHU" ,  "Davide" ,  "De Luca" ,  "1975/11/23" ,  "Statunitense" ),
( "LYPA01TOJ2VWRQMX" ,  "Martina" ,  "Rizzo" ,  "1980/06/25" ,  "Austriaca" ),
( "Q786E7KMJKVEVIYI" ,  "Valentina" ,  "De Luca" ,  "1978/04/04" ,  "Portoghese" ),
( "UH9LZUSZUFM1YECW" ,  "Alessio" ,  "Romano" ,  "1994/09/16" ,  "Spagnola" ),
( "Z59B8YYWW6C0OBB6" ,  "Alessio" ,  "Moretti" ,  "1996/05/04" ,  "Italiana" ),
( "M90B3R176QYXPGLK" ,  "Martina" ,  "Mancini" ,  "1982/08/14" ,  "Cinese" ),
( "CF1I55DSUYXIW389" ,  "Elisa" ,  "Mancini" ,  "1978/04/04" ,  "Francese" ),
( "E65Y78CX9B3QEGXX" ,  "Stefano" ,  "Mancini" ,  "1992/05/06" ,  "Sudafricana" ),
( "YPDZW7M7XWXPVI28" ,  "Matteo" ,  "Rizzo" ,  "1992/05/06" ,  "Austriaca" ),
( "3B5YYC9ONCYK1EJ3" ,  "Davide" ,  "Barbieri" ,  "1978/11/12" ,  "Spagnola" ),
( "8Y1KRMBK47A989WN" ,  "Davide" ,  "Santoro" ,  "1991/04/01" ,  "Messicana" ),
( "HT31PM5WFG34N3AI" ,  "Alice" ,  "Rossi" ,  "1993/09/05" ,  "Portoghese" ),
( "J611D1VJ11NQ4BUD" ,  "Francesca" ,  "Mariani" ,  "1964/11/12" ,  "Giapponese" ),
( "5FM392QUR4F68FWY" ,  "Francesca" ,  "Ricci" ,  "1992/05/06" ,  "Giapponese" ),
( "3RLAJGRDH8YUEEUI" ,  "Luca" ,  "Santoro" ,  "1986/10/19" ,  "Giapponese" ),
( "YCX6X6NDN8850K5H" ,  "Laura" ,  "Esposito" ,  "1986/12/19" ,  "Canadese" ),
( "3LC9MOMBUYMARBUW" ,  "Alessio" ,  "Bianchi" ,  "1972/03/05" ,  "Tedesca" ),
( "1GTYVFXJPZMU4BNN" ,  "Valentina" ,  "Rizzo" ,  "1984/09/28" ,  "Statunitense" ),
( "4TY9213OPE5D4OOZ" ,  "Giulia" ,  "Fontana" ,  "1991/04/01" ,  "Portoghese" ),
( "MAZRQWOPPVF90F8F" ,  "Laura" ,  "Rizzo" ,  "1960/06/17" ,  "Sudafricana" );



INSERT INTO Conto(ID_Conto, Importo, Banca) VALUES 
( "UGEFKI7BGS" ,  7899478.2 ,  "Barclays plc" ),
( "TMTA9DX38F" ,  5885532.91 ,  "Barclays plc" ),
( "XHL3G0ZBMT" ,  4274456.87 ,  "Wells Fargo & Co." ),
( "KMXKBEXCZK" ,  6982639.65 ,  "Credit Suisse Group AG" ),
( "VFLERNAIU3" ,  1039326.52 ,  "JPMorgan Chase & Co." ),
( "GGV49OWSP5" ,  5921876.23 ,  "JPMorgan Chase & Co." ),
( "FWJ62P6EE7" ,  2286740.86 ,  "JPMorgan Chase & Co." ),
( "OJG52E6UXB" ,  2150822.0 ,  "Credit Suisse Group AG" ),
( "M5PXIGJIKM" ,  985717.17 ,  "Credit Suisse Group AG" ),
( "FHX1QOV4ZY" ,  3043474.24 ,  "Bank of America" ),
( "6JEGW0D10I" ,  5818420.68 ,  "Deutsche Bank AG" ),
( "EQZIYV18CL" ,  4329782.15 ,  "JPMorgan Chase & Co." ),
( "KD78Z8O5A5" ,  7543226.19 ,  "HSBC Holdings plc" ),
( "AN6NYDQME7" ,  5470280.97 ,  "HSBC Holdings plc" ),
( "W80T9EACIH" ,  6653842.71 ,  "Barclays plc" ),
( "FB1BAV78FC" ,  6586348.38 ,  "Credit Suisse Group AG" ),
( "WOW7TIPQ2X" ,  6335555.04 ,  "JPMorgan Chase & Co." ),
( "NM38UIAHXX" ,  5295183.34 ,  "Citibank" ),
( "CSF974LBKT" ,  2678346.93 ,  "Wells Fargo & Co." ),
( "CFIE93Z3BY" ,  2155759.83 ,  "Citibank" ),
( "Z9FSRKVGSS" ,  1549474.13 ,  "Deutsche Bank AG" ),
( "9L7X41SRVT" ,  4552792.15 ,  "BNP Paribas" ),
( "X80POAPWCT" ,  4659363.93 ,  "HSBC Holdings plc" ),
( "S00TIL0EGT" ,  1210464.43 ,  "Mitsubishi UFJ Financial Group (MUFG)" ),
( "OUR059DPQK" ,  3592616.3 ,  "Bank of America" ),
( "H0804HPGON" ,  2071103.86 ,  "Wells Fargo & Co." ),
( "6P87IIVVET" ,  6777604.12 ,  "HSBC Holdings plc" ),
( "26EH9HM6PC" ,  5275822.77 ,  "Credit Suisse Group AG" ),
( "FV0J5VHQBQ" ,  6150930.9 ,  "HSBC Holdings plc" ),
( "I9BDIT7AGS" ,  4611593.18 ,  "Bank of America" ),
( "5HBUIUR1NX" ,  1116636.46 ,  "Credit Suisse Group AG" ),
( "YH8HY7WAZS" ,  2896025.03 ,  "Credit Suisse Group AG" ),
( "NAT12WZ39C" ,  5233361.04 ,  "Wells Fargo & Co." ),
( "YBSD74VN7N" ,  7691034.45 ,  "Citibank" ),
( "Q43Z15EXRB" ,  7451121.69 ,  "BNP Paribas" ),
( "5AVB0F8SHE" ,  4416496.95 ,  "Wells Fargo & Co." ),
( "EXSITPU1S0" ,  5012629.22 ,  "Mitsubishi UFJ Financial Group (MUFG)" ),
( "JLI2UIEV1W" ,  1279919.73 ,  "Mitsubishi UFJ Financial Group (MUFG)" ),
( "K69C6JZ6Y6" ,  5380532.78 ,  "Wells Fargo & Co." ),
( "KGLV9Y0MGH" ,  3899560.32 ,  "Mitsubishi UFJ Financial Group (MUFG)" ),
( "IZA9LAOKBH" ,  3457197.19 ,  "Wells Fargo & Co." ),
( "W2N72XJV2R" ,  1439815.03 ,  "HSBC Holdings plc" ),
( "8U0ZZHE7B4" ,  2624993.43 ,  "Wells Fargo & Co." ),
( "F2O9UA1KEH" ,  3488384.67 ,  "HSBC Holdings plc" ),
( "P5MLUGS01T" ,  5916428.04 ,  "BNP Paribas" ),
( "33IOT26AZS" ,  1351037.22 ,  "Wells Fargo & Co." ),
( "SPBDXM0JMU" ,  6814846.42 ,  "JPMorgan Chase & Co." ),
( "KLPIFM7MBC" ,  7597850.96 ,  "Credit Suisse Group AG" ),
( "SU325WP2YR" ,  7609746.19 ,  "Mitsubishi UFJ Financial Group (MUFG)" ),
( "3L64E9SCIX" ,  3991761.49 ,  "Bank of America" );



INSERT INTO Casino(ID_Casino, Indirizzo, Nazionalita, Data_Apertura, Conto) VALUES 
( "Lucky Spin Casino" ,  "Via del Sole" ,  "Austriaca" ,  "1962/12/10" ,  "UGEFKI7BGS"),
( "Golden Palace" ,  "Oak Street" ,  "Australiana" ,  "1997/02/25" ,  "TMTA9DX38F"),
( "Starlight Casino" ,  "Rue de la Lune" ,  "Spagnola" ,  "1971/03/23" ,  "XHL3G0ZBMT"),
( "Fortune Plaza" ,  "Calle Primavera" ,  "Italiana" ,  "1982/05/15" ,  "KMXKBEXCZK"),
( "Royal Dice" ,  "Maple Avenue" ,  "Cinese" ,  "1971/03/23" ,  "VFLERNAIU3"),
( "Silver Sands" ,  "Elm Drive" ,  "Cinese" ,  "1963/01/06" ,  "GGV49OWSP5"),
( "Emerald Casino" ,  "Hauptstraße" ,  "Spagnola" ,  "1982/05/15" ,  "FWJ62P6EE7"),
( "Vegas Lights" ,  "Via Roma" ,  "Spagnola" ,  "1990/08/21" ,  "OJG52E6UXB"),
( "Ocean Jewel" ,  "Fifth Avenue" ,  "Australiana" ,  "1990/08/21" ,  "M5PXIGJIKM"),
( "Sunrise Casino" ,  "Champs-Élysées" ,  "Italiana" ,  "1962/09/24" ,  "FHX1QOV4ZY"),
( "Moonlit Cove" ,  "Calle de la Playa" ,  "Brasiliana" ,  "1986/12/23" ,  "6JEGW0D10I"),
( "Crystal Casino" ,  "Birch Lane" ,  "Portoghese" ,  "1999/06/09" ,  "EQZIYV18CL"),
( "Palm Grove" ,  "Baker Street" ,  "Statunitense" ,  "1977/06/03" ,  "KD78Z8O5A5"),
( "Crown Jewel" ,  "Hauptplatz" ,  "Sudafricana" ,  "1994/08/19" ,  "AN6NYDQME7"),
( "Pearl Bay" ,  "Piazza San Marco" ,  "Spagnola" ,  "1989/10/01" ,  "W80T9EACIH"),
( "Desert Oasis" ,  "Central Park West" ,  "Australiana" ,  "1994/08/21" ,  "FB1BAV78FC"),
( "Lucky Clover" ,  "Seine Quai" ,  "Cinese" ,  "1971/11/12" ,  "WOW7TIPQ2X"),
( "Neon Nights" ,  "La Rambla" ,  "Sudafricana" ,  "1997/02/25" ,  "NM38UIAHXX"),
( "Royal Flush" ,  "Harbour Street" ,  "Brasiliana" ,  "1981/08/15" ,  "CSF974LBKT"),
( "Emerald Isle" ,  "King's Road" ,  "Statunitense" ,  "1962/09/24" ,  "CFIE93Z3BY"),
( "Wild West" ,  "Alexanderplatz" ,  "Tedesca" ,  "1998/06/08" ,  "Z9FSRKVGSS"),
( "Sunset Strip" ,  "Piazza Navona" ,  "Spagnola" ,  "1990/07/06" ,  "9L7X41SRVT"),
( "Golden Gate" ,  "Broadway" ,  "Messicana" ,  "1999/05/06" ,  "X80POAPWCT"),
( "Treasure Cove" ,  "Louvre Rue" ,  "Messicana" ,  "1979/10/25" ,  "S00TIL0EGT"),
( "Diamond Edge" ,  "Ramblas" ,  "Australiana" ,  "1977/08/08" ,  "OUR059DPQK"),
( "Blue Horizon" ,  "Bondi Beach Road" ,  "Austriaca" ,  "1994/08/21" ,  "H0804HPGON"),
( "Red Lantern" ,  "Oxford Street" ,  "Statunitense" ,  "1979/10/25" ,  "6P87IIVVET"),
( "Sapphire Sky" ,  "Kurfürstendamm" ,  "Sudafricana" ,  "1988/01/15" ,  "26EH9HM6PC"),
( "Mystic Mirage" ,  "San Marco Plaza" ,  "Statunitense" ,  "1999/06/09" ,  "FV0J5VHQBQ"),
( "Lucky Star" ,  "Times Square" ,  "Cinese" ,  "1962/12/10" ,  "I9BDIT7AGS"),
( "Rainbow Resort" ,  "Champs-Élysées" ,  "Austriaca" ,  "1993/10/12" ,  "5HBUIUR1NX"),
( "Silver Stream" ,  "Las Ramblas" ,  "Giapponese" ,  "1966/12/15" ,  "YH8HY7WAZS"),
( "Crystal Peak" ,  "Harbour Bridge Street" ,  "Britannica" ,  "1993/10/12" ,  "NAT12WZ39C"),
( "Sunset Sands" ,  "Baker Street" ,  "Giapponese" ,  "1999/06/09" ,  "YBSD74VN7N"),
( "Vegas Mirage" ,  "Rathausplatz" ,  "Giapponese" ,  "1986/12/23" ,  "Q43Z15EXRB"),
( "Starshine" ,  "Colosseum Avenue" ,  "Messicana" ,  "1977/08/08" ,  "5AVB0F8SHE"),
( "Dreamland Casino" ,  "Central Park West" ,  "Messicana" ,  "1999/06/09" ,  "EXSITPU1S0"),
( "Skyline Gaming" ,  "Seine Quai" ,  "Messicana" ,  "1971/11/12" ,  "JLI2UIEV1W"),
( "Crimson Casino" ,  "Sagrada Familia Avenue" ,  "Tedesca" ,  "1985/12/12" ,  "K69C6JZ6Y6"),
( "Mystic Oasis" ,  "Bondi Beach Road" ,  "Spagnola" ,  "1986/12/23" ,  "KGLV9Y0MGH"),
( "Azure Sands" ,  "Abbey Road" ,  "Tedesca" ,  "1961/04/18" ,  "IZA9LAOKBH"),
( "Treasure Island" ,  "Brandenburg Gate Platz" ,  "Tedesca" ,  "1965/02/20" ,  "W2N72XJV2R"),
( "Ruby Ridge" ,  "Piazza di Spagna" ,  "Tedesca" ,  "1965/04/26" ,  "8U0ZZHE7B4"),
( "Neon Dreams" ,  "Broadway" ,  "Brasiliana" ,  "1969/01/22" ,  "F2O9UA1KEH"),
( "Golden Arrow" ,  "Eiffel Tower Lane" ,  "Sudafricana" ,  "1994/05/04" ,  "P5MLUGS01T"),
